# roots: aimock=97998 (AIMock boot), stack=98259 (npm run dev), runner=1376 (full D6 matrix; the later --demo runner processes were children of this session's shell and are not in this sample set).
# RSS samples (KiB), every 5 s: all descendants of the roots in /private/tmp/claude-501/-Users-tylerslaton-Code-CopilotKit/46e242f6-1b34-4976-b132-d4b1ececf87d/scratchpad/lgp/roots.txt (AIMock boot, LGP stack boot, D6 runner incl. Playwright Chromium). Other agents' processes are excluded by ancestry.
23:08:37 total_kb=137264 root97998_kb=72896 root98259_kb=64368 top=node:72896 load=5.35
23:16:59 total_kb=6563152 root97998_kb=90688 root98259_kb=6472464 root1376_kb=0 top=next-server (v15.5.26):5861872 load=7.00
23:17:05 total_kb=6659360 root97998_kb=90688 root98259_kb=6568672 root1376_kb=0 top=next-server (v15.5.26):5955072 load=7.24
23:17:10 total_kb=6678096 root97998_kb=90704 root98259_kb=6587392 root1376_kb=0 top=next-server (v15.5.26):5970720 load=6.74
23:17:15 total_kb=6680992 root97998_kb=90704 root98259_kb=6590288 root1376_kb=0 top=next-server (v15.5.26):5971200 load=6.44
23:17:20 total_kb=6680992 root97998_kb=90704 root98259_kb=6590288 root1376_kb=0 top=next-server (v15.5.26):5971200 load=6.17
23:17:25 total_kb=6683376 root97998_kb=90704 root98259_kb=6592672 root1376_kb=0 top=next-server (v15.5.26):5971200 load=5.83
23:17:30 total_kb=6683376 root97998_kb=90704 root98259_kb=6592672 root1376_kb=0 top=next-server (v15.5.26):5971200 load=5.61
23:17:35 total_kb=6685760 root97998_kb=90704 root98259_kb=6595056 root1376_kb=0 top=next-server (v15.5.26):5971200 load=5.24
23:17:40 total_kb=6685760 root97998_kb=90704 root98259_kb=6595056 root1376_kb=0 top=next-server (v15.5.26):5971200 load=6.10
23:17:45 total_kb=6688144 root97998_kb=90704 root98259_kb=6597440 root1376_kb=0 top=next-server (v15.5.26):5971200 load=5.69
23:17:50 total_kb=6688144 root97998_kb=90704 root98259_kb=6597440 root1376_kb=0 top=next-server (v15.5.26):5971200 load=5.47
23:17:55 total_kb=6690528 root97998_kb=90704 root98259_kb=6599824 root1376_kb=0 top=next-server (v15.5.26):5971200 load=5.28
23:18:00 total_kb=6690528 root97998_kb=90704 root98259_kb=6599824 root1376_kb=0 top=next-server (v15.5.26):5971200 load=5.09
23:18:05 total_kb=6712016 root97998_kb=90704 root98259_kb=6621312 root1376_kb=0 top=next-server (v15.5.26):5989968 load=5.25
23:18:10 total_kb=6692816 root97998_kb=90704 root98259_kb=6602112 root1376_kb=0 top=next-server (v15.5.26):5970480 load=5.55
23:18:15 total_kb=6676656 root97998_kb=90704 root98259_kb=6585952 root1376_kb=0 top=next-server (v15.5.26):5970864 load=5.26
23:18:20 total_kb=6676656 root97998_kb=90704 root98259_kb=6585952 root1376_kb=0 top=next-server (v15.5.26):5970864 load=5.72
23:18:25 total_kb=6679056 root97998_kb=90704 root98259_kb=6588352 root1376_kb=0 top=next-server (v15.5.26):5970864 load=5.42
23:18:31 total_kb=6679056 root97998_kb=90704 root98259_kb=6588352 root1376_kb=0 top=next-server (v15.5.26):5970864 load=5.15
23:18:36 total_kb=6681456 root97998_kb=90704 root98259_kb=6590752 root1376_kb=0 top=next-server (v15.5.26):5970864 load=4.98
23:18:41 total_kb=6681456 root97998_kb=90704 root98259_kb=6590752 root1376_kb=0 top=next-server (v15.5.26):5970864 load=5.22
23:18:46 total_kb=6683856 root97998_kb=90704 root98259_kb=6593152 root1376_kb=0 top=next-server (v15.5.26):5970864 load=4.80
23:18:51 total_kb=6683856 root97998_kb=90704 root98259_kb=6593152 root1376_kb=0 top=next-server (v15.5.26):5970864 load=4.58
23:18:56 total_kb=6686256 root97998_kb=90704 root98259_kb=6595552 root1376_kb=0 top=next-server (v15.5.26):5970864 load=4.69
23:19:01 total_kb=6686256 root97998_kb=90704 root98259_kb=6595552 root1376_kb=0 top=next-server (v15.5.26):5970864 load=4.63
23:19:06 total_kb=6687568 root97998_kb=89232 root98259_kb=6598336 root1376_kb=0 top=next-server (v15.5.26):5971216 load=4.34
23:19:11 total_kb=6687568 root97998_kb=89232 root98259_kb=6598336 root1376_kb=0 top=next-server (v15.5.26):5971216 load=4.23
23:19:16 total_kb=6689984 root97998_kb=89232 root98259_kb=6600752 root1376_kb=0 top=next-server (v15.5.26):5971216 load=4.06
23:19:21 total_kb=6689984 root97998_kb=89232 root98259_kb=6600752 root1376_kb=0 top=next-server (v15.5.26):5971216 load=4.37
23:19:26 total_kb=6673392 root97998_kb=89232 root98259_kb=6584160 root1376_kb=0 top=next-server (v15.5.26):5971216 load=4.26
23:19:31 total_kb=6673392 root97998_kb=89232 root98259_kb=6584160 root1376_kb=0 top=next-server (v15.5.26):5971216 load=4.16
23:19:36 total_kb=6741712 root97998_kb=89232 root98259_kb=6652480 root1376_kb=0 top=next-server (v15.5.26):6003600 load=3.99
23:19:41 total_kb=6748144 root97998_kb=88496 root98259_kb=6659648 root1376_kb=0 top=next-server (v15.5.26):6010176 load=3.91
23:19:47 total_kb=6719232 root97998_kb=88512 root98259_kb=6630720 root1376_kb=0 top=next-server (v15.5.26):6011680 load=3.59
23:19:52 total_kb=6726512 root97998_kb=88512 root98259_kb=6638000 root1376_kb=0 top=next-server (v15.5.26):6018960 load=4.11
23:19:57 total_kb=6728912 root97998_kb=88512 root98259_kb=6640400 root1376_kb=0 top=next-server (v15.5.26):6018960 load=3.86
